SECURITY,NEW,PREVIOUS,NEW_STATUS
DE NORA INDIA LIMITED,788.2,776.95,H
ADANI POWER LTD,312.25,312,H
NETWORK PEOPLE SRV TECH L,86.5,82,H
GRAUER & WEIL IND LTD,82.25,76.8,H
ADANI WILMAR LIMITED,701.55,694.45,H
RAJ RAYON INDUSTRIES LTD,7.6,7.25,H
VAXTEX COTFAB LIMITED,28.55,27.2,H
SONA HI SONA JEWELL G LTD,22.35,20.85,H
NIP IND ETF DIV OPP,50.3,45,H
ESAB INDIA LTD,3850,3700,H
GSS INFOTECH LIMITED,225.9,225.4,H
PRITI INTERNATIONAL LTD,84,82.3,H
ZENITH STEEL PIP IND LTD,6.35,6.05,H
BODHI TREE MULTIMEDIA LTD,19.6,17,H
KSB LIMITED,1484,1414.9,H
HONDA I POWER PRODUCT LTD,1808.95,1755,H
SEC RE NCD 8.75% SR.I,970,930.05,H
AVRO INDIA LIMITED,125.9,121.05,H
HINDUSTAN AERONAUTICS LTD,1787,1758,H
LANCER CONTAINER LINE LTD,234.8,230,H
NIPPONAMC - NETFSILVER,64.96,62.29,H
LIFE INSURA CORP OF INDIA,825,838,L
HEC INFRA PROJECTS LTD,27.85,28.15,L
VAXTEX COTFAB LIMITED,26.1,27.2,L
AAKASH EXPLORATION SER L,18.3,19.25,L
MOKSH ORNAMENTS LIMITED,14.2,14.35,L
UNIINFO TELECOM SERVI LTD,21.5,22.4,L
SONU INFRATECH LIMITED,30.3,31.85,L
GODHA CABCON INSULAT LTD,11.4,12,L
FUTURE RETAIL LIMITED,11.4,12,L
INDOSTAR CAPITAL FIN LTD,148.25,150,L
GOI LOAN  4.26% 2023,93,93.05,L
NORBEN TEA &EXPORTS LTD,5.7,5.9,L
ICICIPRAMC - ICICI500,22,22.11,L
GOI LOAN  6.95% 2061,92,93.05,L
AGI GREENPAC LIMITED,229,231.55,L
BIRLASLAMC - TECH,27.8,28.4,L

